person_id,person_birth_day,person_death_day,person_name,person_english_name,person_biography,person_birth_place
87942,1971-10-25,,朱茵,Athena Chu,朱茵中学就读路德会吕明才中学，1990年在香港演艺学院供读戏剧系，拥有天份的她，还未毕业，已受电影圈所留意，于1991年被邀请参与演出电影《逃学威龙续集》，担纲女主角。与此同时在年中，更被电视广播有限公司﹝TVB﹞发掘，加入电视台以供读生身份任节目主持人，不断努力的她，终于在1992年完成三年的演艺学院戏剧系的课程。同时更获得这年的最佳演员奖。　　毕业后，朱茵正式与无线(TVB)签约，首部电视剧《都市的童话》深受观众欢迎，其后所演的电视剧，如《原振侠》、《射雕英雄传》、《廉政行动组》，都担纲女主角，剧集收视十分理想，观众也给朱茵在戏剧的表现上有极高的评价，这样有天份的演员，电影圈怎会不向她招手，所以朱茵于短短几年间，在本港及外埠已拍了超过二十多部电影，如《超级计划》、《大话西游》等。　　朱茵的兴趣还不只演戏，于1996年初踏足乐坛，推出个人首张专辑《地震》，跟随在1997年推出第二张专辑《玻璃》及1998年第三张专辑《踢踢踏》。　　这位不止是歌影视迷心中的女神，甚至在1998年被世界名牌(YSL)选为《在男性眼中最令人心动的女人》的朱茵，不单是影视圈中可热的女演员，就连广告商也不放过她，形像清新鲜明的她确能与广告产品建立正面的形像，如：苏菲卫生护垫(1995─1999，台湾)(2000，中国)、Epson计算机打印机(1996─1998，香港)(1998—1999，大陆)等，而Epson更与朱茵签下合约，参与旗下产品开拓中国市场之广告，可见她被肯定的地位！　　1994年底约满无线(TVB)电视台。专注在电影方面发展，1995年初邀得前TVB艺员发展科经理陈美玲小姐代理一切娱乐事业之有关事务。　　毕业作品《赤脚走公园》荣获学院之最佳女演员奖。 后任TVB儿童节目《闪电传真机》主持。1995年，跟艺人周星驰和张敏拍戏。在于周星驰合作的代表作《大话西游》系列中扮演“紫霞仙子”令其名声大噪，并逐渐被中国大陆观众熟知。随后，和黄贯中拍拖，并长期在大陆拍摄影视作品，代表作品有反映中国抗日战争的电视剧《逐日英雄》等。最近几年，除了演戏其也在男友黄贯中的影响与帮助下，自费出唱片，代表专辑作品有《跳起来》、《Attitude》等。,Hong Kong
87944,1947-08-27,,罗行堂,Law Kar-Ying,罗家英，香港知名演员。出身粤剧世家。1949年跟随父亲罗家权(罗仕干)往香港定居。8岁时跟随父亲罗家权、伯父罗家树学习粤剧基本功架，师随粉菊花、吕国铨、刘洵、李万春等京剧大师，红裤出身，由兵仔开始，21岁便担当演出文武生。1973年正式担正，演出《蟠龙令》，自此参与不少大戏，如《章台柳》、《万世流芳张玉桥》、《曹操与杨修》等，刘德华曾拜他为师学习粤剧。其间1982年至1984年在香港电台任全职节目主任，也曾参加港台节目《香江岁月之萧先生》，及演出电视剧《怒剑笑狂啸》、《共饮长江水》及《阿Sir早晨》。第一部电影是《重案组》，成绩理想。自此接拍不少搞笑影片，成为笑片新星。　　1982年至1984年在香港电台任全职节目主任，也曾参加港台节目《香江岁月之萧先生》，及演出电视剧《怒剑啸狂沙》、《共饮长江水》及《阿Sir早晨》。第一部电影是《重案组》，成绩理想。自此接拍不少搞笑影片，成为笑片新星。在《大话西游》饰演啰嗦的唐僧一角而名声大噪，成为内地观众熟知的香港演员。,"Guangzhou, Guangdong, China"
87945,,,,Yammie Lam Kit-Ying,,
87948,1973-09-17,,蔡少芬,Ada Choi,,Hong Kong
87950,,,,Johnnie Kong,,
88351,1945-09-24,,陈观泰,Chen Kuan-Tai,,"Guangdong, China"
88495,1965-08-02,,吴君如,Sandra Ng Kwun-Yu,吴君如，香港电影演员，电视、电台节目主持，外号三姑，16岁进入无线电视艺员训练班，1983年中学毕业后拍过《斗气一族》、《错体姻缘》等剧集，后转往电影圈发展，常扮演被消遣挖苦的角色，不惜自毁形象搞笑，由此赢得“女周星驰”称号。又称“大嘴姑婆”。另外亦有女版周星驰和搞笑女王之称，是两岸三地华人影坛和娱乐界的首席女笑星。,
92833,1958-02-02,,,Vincent Wan Yeung-Ming,,
94076,1962-09-11,,苑琼丹,Kingdom Yuen,,"Hong Kong, China"
94077,,,洪欣,Catherine Hung Yan,,
96546,1934-09-16,,楚原,Chor Yuen,,"Guangzhou, Guangdong, China"
96613,1969-04-28,,刘仪伟,Liu Yiwei,,
96856,1947,,,Yonfan,,
96862,1968-03-18,,胡军,Hu Jun,,
96889,,,,Ann Bridgewater,,
99687,1964-12-19,,张涵予,Zhang Hanyu,,
99689,1979-02-08,,邓超,Deng Chao,,
103598,1954-12-15,,金燕玲,Elaine Jin,,Taiwan
103602,,,,Mabel Cheung,,
105418,,,向华强,Charles Heung,,
105421,,,谷祖琳,Jo Kuk,,
105940,1942-09-03,,许冠文,Michael Hui,,"Panyu, Guangzhou, Guangdong, China"
109301,1963-11-30,,吴家丽,Carrie Ng,,"Kowloon, Hong Kong"
109304,,,杨菁菁,Yeung Ching-Ching,,
109434,1977-11-13,,黄晓明,Huang Xiao-Ming,,
109809,1976-02-04,,陈坤,Chen Kun,,"Chongqing, Sichuan, China"
109813,1997-08-05,,,Xu Jiao,,
110844,,,林国斌,Ben Lam,,
110845,,,,Carman Lee,,
110847,1960-09-05,,黄子华,Dayo Wong,,"Hong Kong, China"
111298,1954-11-27,,郑丹瑞,Lawrence Cheng,,"Hong Kong, China"
112563,,,,Feng Yuanzheng,,
113797,1960-03-25,,陈玉莲,Idy Chan,,Hong Kong
115610,1958-01-23,,,Tien Niu,,
116052,,,鲍汉琳,Bau Hon-Lam,,
116351,1945-06-01,2008-02-19,沈殿霞,Lydia Shum,,
116636,,,郭晓冬,Guo Xiaodong,,
116896,,,,Ricky Ho Kwok-Kit,,
116906,1952,,,John Shum Kin-Fun,,
118350,1964-07-02,,,Cheung Tat-Ming,,
118352,1963-02-23,,刘以达,Tats Lau,,"Hong Kong, China"
118355,1961-05-01,,李力持,Lee Lik-Chi,,"Hong Kong, China"
118726,1977-02-22,,苗圃,Miao Pu,,
118745,,,,Fung Hak-On,,
119426,,,元秋,Yuen Qiu,,
119447,1955-02-01,2009-08-27,成奎安,Shing Fui-On,,Hong Kong
119450,1918-10-07,2001-03-12,西瓜刨,Sai Gwa-Pau,,
119454,,,,Mars,,
120419,1978-08-21,,吴辰君,Annie Wu,,
120725,1958-08-10,,于荣光,Yu Rong-Guang,,"Beijing, China"
121394,1928-06-04,2015-10-22,田丰,Tien Feng,,"Hunan Province, China"
121709,1963-08-31,,李美凤,Elizabeth Lee Mei-Fung,,
122816,,,,Lee Siu-Kei,,
122818,,,吴启华,Lawrence Ng,,
122820,,,,Kwong Leung Wong,,
123202,,,刘天兰,Tina Lau,,
124002,1940-05-05,,,Wang Hsieh,,
124777,,,,Wong Chung,,
126852,,,,Maria Cordero,,
127410,1959-10-22,,,Candice Yu On-On,,Hong Kong - China
127436,,,,Felix Lok Ying-Kwan,,
130561,,,,Henry Fong Ping,,
130644,1966-12-06,,周海媚,Kathy Chow,,Hong Kong
130985,1967-01-15,,徐帆,Xu Fan,,"Wuhan, China"
131465,,,刘宝贤,Bowie Lau,,
131728,,,,Yuen Tak,,
134686,,,,Bradley James Allan,,
134703,1945-01-15,2015-12-06,柯俊雄,Ko Chun-Hsiung,,"Tainan, Taiwan"
134704,1942-08-18,2014-02-04,午马,Wu Ma,,"Tianjin, China"
135836,,,叶进,Yip Chun,,
140481,,,,Lau Kong,,
143602,1978-02-21,,龚蓓苾,Gong Beibi,,"Fujian, China"
144860,1971-08-27,,张智霖,Julian Cheung,,"Guangdong, China"
146624,1967-11-10,,周慧敏,Vivian Chow,,
148752,,,梁曼仪,Fanny Leung,,
148884,1965-08-06,,钱嘉乐,Chin Ka-Lok,,
148886,1957-07-25,,,Alex Man Chi-Leung,,Hong Kong
148891,,,,Lee Heung-Kam,,
163441,,,,Michael McFall,,
213438,1953-02-23,,锺镇涛,Kenny Bee,,
213441,,,,Leung Wing-Chung,,
223917,,,,Elaine Eca Da Silva,,
224925,,,龙方,Lung Fong,,
224928,,,李蕙敏,Amanda Lee,,
224929,,,陈法蓉,Monica Chan,,
226620,,,锺景辉,Chung King-Fai,,
227778,1957-09-09,,郑裕玲,Carol Cheng,,"Hong Kong, China"
227782,1949-01-20,,梁家仁,Leung Kar-Yan,,"Hong Kong, China"
227792,1968-12-13,,杨丽菁,Cynthia Khan,,"Chiayi County, Taiwan"
227804,1966-03-11,,,Suki Kwan,,
229302,1930-07-03,,谷峰,Ku Feng,,
230776,1960-12-25,,周文健,Michael Chow Man-Kin,北京出生，4岁来到香港。9岁时随家人移居加拿大。1985年回港，因外型健硕，被赏识拍了一个啤酒电视广告，后经朋友王敏德介绍给陈欣健认识，被安排参与许冠文的《神探朱古力》。后来拍过不少电影，但都是配角。后加入无线负责三个节目，一年后再度踏入电影圈，接拍钱升玮的《七月十四》，首度担任主角。,中国北京
230777,,,,Jessica Hsuan,,
231909,,,,Amy Yip,,
231913,,,,Ha Chi-Chun,,
237235,,,,Lee Kin-Yan,,
238973,,,卢冠廷,Lowell Lo,,
239010,1954-04-03,,楼南光,Billy Lau,,Hong Kong
239091,,,任世官,Yen Shi-Kwan,,
239961,1958-08-24,,,Billy Chow,,Canada
240161,,,,Meg Lam Kin-Ming,,
240169,1950-07-28,,李丽丽,Lily Li Li-Li,,
240171,1955-11-30,,刘家辉,Gordon Liu Chia-Hui,,
240177,1948-01-28,,黄百鸣,Raymond Wong,,
270960,,,,Aman Chang,,
296066,,,,Chun Wong,,
327585,1954-11-15,,赵雅芝,Angie Chiu,,
543169,,,王伍福,Wang Wufu,,
543178,,,张国立,Zhang Guoli,,
543848,1971-09-06,,王学兵,Wang Xue-Bing,王学兵，中国影视演员。1971年9月6日出生于新疆乌鲁木齐，1994年毕业于中央戏剧学院表演系。,乌鲁木齐，新疆，中国
544796,,,,Patrick Tse Yin,,
545277,1976-08-16,,林子聪,Lam Tze-Chung,,Hong Kong
548045,,,,Wong Kam-Kong,,
548371,,,,Ga-Ling Gung,,
548474,1955-05-03,,鬼媾人,Wong Jing,,Hong Kong
548610,1942-06-17,,,Chiang Tao,,Taiwan
548616,,,,Wilson Lam,,
551869,,,陈豪,Moses Chan,,
552084,1965-09-04,,,Bowie Lam,,
553881,,,,Parkman Wong,,
553882,,,,Fan Wei Yee,,
554120,1973-01-13,,叶蕴仪,Gloria Yip,,
554183,,,,Tam Sin-Hung,,
556800,1967,,陈加玲,Charine Chan,,
556938,,,,James Ha,,
560190,1952-05-04,,唐国强,Tang Guoqiang,,
565456,,,,Sheila Chan,,
567303,1930-01-18,,胡枫,Wu Fung,,"Guangzhou, Guangdong, China"
568979,,,何东,Hoh Dung,,
571521,,,叶荣祖,Teddy Yip Wing-Cho,,
576408,,,,Bruce Leung Siu-Lung,,
576426,,,,Nadia Chan,,
579216,1969-09-15,,袁洁莹,Fennie Yuen,,
583878,,,,Lei Yu,,
584527,1944-03-28,,王羽,Jimmy Wang Yu,,"Wuxi, Jiangsu Province, China"
588138,1975-09-03,,陈晓东,Daniel Chan Hiu-Tung,," Shanghai, China"
588144,,,,Karel Wong Chi-Yeung,,
589746,,,,Joanna Chan,,
589911,1963-12-07,,刘劲,Liu Jin,,
592328,,,,Wong Wan-Si,,
592329,,,秦沛,Paul Chun Pui,,
612216,,,高雄,Eddy Ko,,
928166,,,,Michelle Bestbier,,
931172,1970-06-27,,陈建斌,Chen Jianbin,,
931174,,,,Emil Chow,,
936009,,,,Chi Fai Chan,,
936010,,,,Joe Cheng,,
944021,1964-07-08,,雷宇扬,Simon Lui,,
955784,,,,Lung Tin-sang,,
956575,,,黄一飞,Wong Yat-Fei,,
974461,,,陈松勇,Chan Chung-Yung,,
975322,1969-05-21,,,Wyman Wong Wai-Man,,
987137,,,,Nancy Sit Ka-Yin,,
987139,,,童爱玲,Eileen Tung,,
990443,1951-12-03,,,Natalis Chan,,Hong Kong - China
990778,,,,Lam Kau,,
994641,,,吴志雄,Frankie Ng,,
998494,,,宁静,Ning Jing,,
998602,,,,Catherine Lau,,
999460,,,,Chan Fai-Hung,,
1000109,,,,Wan Chi-Keung,,
1002925,1944-07-24,,张同祖,Joe Cheung,,"Guangxi, China"
1031246,,,佟大为,Tong Dawei,,
1045536,,,,Matthew Wong Hin-Mung,,
1054920,,,,Joe Cheng Cho,,
1065282,,,,Ho Pak-Kwong,,
1069676,,,,Josephine Koo,,
1076049,1977-03-09,,陈数,Chen Shu,,
1081493,,,,Helen Ma Hoi-Lun,,
1090949,,,,Deric Wan Siu-Lun,,
1092474,,,,Pauline Kwan,,
1094209,1958-12-09,,吴刚,吴刚,吴刚，国家一级演员，出生于北京市，中国内地男演员，毕业于北京人民艺术剧院。2000年，主演风格独特的都市情感剧《堆积情感》。2004年，出演的侦探悬疑《黑蚂蚁》。2007年，出演的古装剧《秋海棠》。2009年，出演电视剧《潜伏》 ；同年，在电影《铁人》中饰演铁人王进喜，获得 第27届中国电影金鸡奖 最佳男主角 。2011年，出演《汉阳造》。2013年，出演谍战情感大剧《我的绝密生涯》。2014年参演电视剧《十月围城》。2015年出演电影《三体》。2017年凭借反腐剧《人民的名义》荣获第23届上海电视节最佳男配角奖。同年主演动作片《战狼2》。,
1109778,,,,Lee Hoi-Sang,,
1114832,,,,Yao Wen-Xue,,
1114833,,,,Han Yong-Hua,,
1119170,,,,Hau Woon-Ling,,
1123830,,,陈旭初,William Chan Yuk-Choh,,
1132614,,,,Tam Bing-Man,,
1134165,,,黄新,Wong San,,
1134504,1935-03-17,1993-06-02,田青,Tin Ching,," Shanghai, China"
1134505,1919-09-23,,,Wong Ching-Ho,,
1134729,,,何家驹,William Ho Ka-Kui,,
1134731,,,,John Ching Tung,,
1134732,,,,Jamie Luk Kim-Ming,,
1134734,1973-03-23,2002-07-31,陈宝莲,Pauline Chan Bo-Lin,,
1134735,,,,Stuart Ong,,
1134736,,,程守一,Billy Ching Sau-Yat,,
1134944,,,李家声,Dickson Lee,,
1134946,,,,Cheung Kwok-Leung,,
1135177,,,,Rachel Lee,,
1135185,,,,James Lai Wing-Keung,,
1135238,1925-10-23,2006-09-11,关海山,Kwan Hoi-San,,
1135394,1952-06-27,,黄光亮,Tommy Wong,,
1135395,1964-03-31,,黄贯中,Paul Wong Koon-Chung,,Hong Kong
1135396,1962-06-10,1993-06-30,黄家驹,Wong Ka-Kui,,
1135397,1964-11-13,,黄家强,Steve Wong Ka-Keung,,
1135398,1963-08-19,,叶世荣,Yip Sai-Wing,,Hong Kong
1135781,,,,Mimi Chu Mai-Mai,,
1135966,,,,Cheng Man-Fai,,
1136392,,,,Steven Fung Min-Hang,,
1136808,,,,Tenky Tin Kai-Man,,
1138763,,,,Leung Ming,,
1139041,,,,Edmond So Chi-Wai,,
1139220,,,,Wong Hung,,
1143686,,,,Alex Lam Chi-Sin,,
1145460,,,陈德容,Vivian Chan,,
1147123,,,卢海鹏,Lo Hoi-Pang,,
1148003,1909-02-22,2007-10-15,钱似莺,Mama Hung,,"Shanghai, China"
1155276,,,,Albert Lai,,
1155647,,,梁本熙,Raymond Leung,,
1160575,,,黄斌,Ronald Wong Ban,,
1160576,,,植敬雯,Chik King-Man,,
1163362,,,,Maggie Li Lin-Lin,,
1164789,,,,Tony Leung Siu-Hung,,
1166375,,,,Lee Ka-Ting,,
1168410,,,,Go Wang,,
1172165,,,,Tam Suk-Mooi,,
1172981,,,,Samuel Leung Cheuk-Moon,,
1173200,,,,Dung Chi-Wa,,
1173203,,,惠天赐,Austin Wai,,
1173215,,,,Lee Sheung-Ching,,
1173216,1943-01-20,,,Chiu Chi-Ling,,
1173223,,,陈国坤,Danny Chan Kwok-Kwan,,
1173224,,,,Jia Kang-Xi,,
1173605,1967-07-06,,江欣燕,Alvina Kong Yan-Yin,,Hong Kong
1173757,,,陈龙,Peter Chan Lung,,
1174754,,,,Victor Chew,,
1175533,,,林小楼,Lam Siu-Lau,,
1178932,,,,Sunny Fang Kang,,
1178934,,,,Michael Dinga,,
1178938,,,,Paul Che Biu-Law,,
1178940,1910,1995,许英秀,Hui Ying-Sau,,
1178945,,,,Chan Ging-Cheung,,
1178954,,,,Lau Tin-Chi,,
1183229,,,单立文,Tan Lap-Man,,
1184600,1953-12-07,,陶泽如,Tao Zeru,,
1190198,,,,Cho Ging-Man,,
1190225,,,,Leung Sap-Yat,,
1191058,,,,Peter Lai Bei-Dak,,
1191929,1966-10-02,,吴大维,David Wu,吴大维，在台湾出生，个性随和亲切，活力充沛，酷爱打篮球，活脱脱是新一代阳光男孩，女孩子梦想中邻家的大哥哥。吴大维的生活方式，犹如他在银幕前的风格一样活跃，像是一个永远停不下来的好动宝宝，多才多艺的他一向都希望在娱乐圈，主持五个CHANNEL [V]的节目、令吴大维忙得不可开交，节目包括：《大潮流》、《NO SWEAT》、《GO WEST》及他周日晚上的清淡节目《吴满秀》及《百事可乐中文TOP20》，吴大维对工作非常认真，但却又是卫视CHANNEL [V]最爱开玩笑的主持人。,Massachusetts - USA
1192984,,,,Ben Wong Chi-Yin,,
1193722,,,,Chan Chi-Fai,,
1195450,,,,Baat Leung-Gam,,
1195555,,,,Mak Hiu-Wai,,
1195556,,,,Cheng Ka-Sang,,
1201400,,,,Pomson Shi,,
1201406,,,施介强,Sze Kai-Keung,,
1201408,,,,Ha Chi-Jan,,
1207686,,,,Yvonne Yung Hung,,
1211897,1956-03-09,,,Chen Baoguo,,Tianjin - China
1233619,,,,Jimmy White,,
1254216,1958-09-29,,汤镇业,Kent Tong,,Hong Kong - China
1265950,,,,Law Ho-Kai,,
1265959,,,,Chan Ging,,
1265974,,,,Mok Mei-Lam,,
1269703,,,,Pak Man-Biu,,
1275566,1935,,杨群,Peter Yang Kwan,,
1275569,,,,Alex Ng Hong-Ling,,
1277921,,,,Tse Wai-Kit,,
1277930,,,,Kam Hing-Yin,,
1287732,1958-03-17,,冯小刚,Feng Xiaogang,,
1297514,,,,Zhao Lei,,
1298433,,,梁克逊,Leung Hak-Shun,,
1298434,,,,Dai Lung,,
1319279,,,冯元炽,Fung Yuen-Chi,,
1319985,,,,Kirk Wong Chi-Keung,,
1329775,1964-07-08,,黄一山,Gabriel Wong Yat-San,英国赫尔大学工商管理硕士出身的黄一山，曾担任过电视台编剧、演员和主持，但他最为人知的身份还是星爷昔日的“御用配角”，戏份不输吴孟达。黄一山的外号叫“细龟”。这是因为以前有一部卡通片说有四只龟一起住，每次干活总是大龟叫二龟，二龟叫三龟，三龟叫“细龟”。黄一山刚入行在电视台主持儿童节目时，就有点像片中的细龟一样任劳任怨，所以大家都叫他“细龟”。后来，他在《逃学威龙》里出演的角色便取名叫“黄小龟”，之后“小龟”这个雅号便被影迷们亲切地叫到现在。除了“黄小龟”一角，黄一山广为人知的角色还包括《唐伯虎点秋香》里的华武、《九品芝麻官》里的傻子以及《破坏之王》里的电视台主持人等角色。,Hong Kong
1334856,1947-06-21,,,May Law Koon-Lan,,Hong Kong - China
1335021,,,,You Liping,,
1338533,,,,Radium Cheung,,
1338555,,,梁锦燊,Leung Gam-San,,
1345124,1952-02-07,,刘永,Lau Wing-Foo,母亲为粤语片甘草演员黎雯。香港圣保罗英文书院毕业后到香港英国皇家音乐学院学习钢琴，又学习武术，获空手道二段、柔道一段，曾任国术教师。1970年加入嘉禾担任演员及场记，在《唐山大兄》（1971）、《精武门》（1972）等电影中担任配角。1973年离开嘉禾。1975年加入邵氏，翌年在《乾隆皇帝奇遇记》中扮演乾隆而大受欢迎，随即主演多部乾隆皇帝系列电影。1984年加入亚洲电视台，主演多部剧集。1984年以后出演电视剧为主。踏入2000年，执导了《女男爵》。,Hong Kong
1345125,,,,Sarah Lee Lai-Yui,,
1345126,,,,Andrew Wu Ying-Kin,,
1346911,,,,So Hon-Sang,,
1346930,,,段伟伦,William Duen,,
1346994,,,,Yip San,,
1356792,,,,Ricky Yi Fan-Wai,,
1357048,,,石燕子,Sek Yin-Tsi,,
1357077,,,,Lung Ming-Yan,,
1357125,,,陈国邦,Chan Kwok-Bong,,
1364713,,,黄杏秀,Cecilia Wong Hang-Sau,,
1365929,,,,Maggie Chan Mei-Kei,,
1371594,,,,Pang Chi-Ching,,
1395247,,,卢宛茵,Angelina Lo Yuen-Yen,,
1398251,,,,Jackson Ng Yuk-Sue,,
1402393,,,邓浩光,Anthony Tang,,
1402734,,,,Yiu Wai,,
1404511,,,,Nancy Lan Sai,,
1405054,,,,Gilbert Lam Wai-San,,
1407172,,,古巨基,Leo Koo Kui-Kei,,
1407468,,,,Cutie Mui Siu-Wai,,
1407526,,,,Vivian Lai Shui-Yan,,
1407528,,,,Joey Leung Wing-Chung,,
1408318,,,,Garry Chan Chi-Shing,,
1413335,,,,Chang Gan-Wing,,
1414033,,,,Celia Sze Lim-Tse,,
1414273,,,,Chow Chi-Fai,,
1415225,,,,Wong Chi-Keung,,
1415252,,,,Ben Wong Tin-Dok,,
1415347,,,简达华,Kan Tat-Wah,,
1415348,,,雷达,Lui Tat,,
1415799,,,,Chang Kin-Ming,,
1416929,,,,Vindy Chan,,
1416970,,,,Lo Hung,,
1417207,,,,Chow Yee-Fan,,
1417211,,,,Jacky Cheung Chun-Hung,,
1417223,,,,Bruce Law Lai-Yin,,
1418476,1960-06-21,,李强,Li Qiang,,
1427509,,,,Chan San-Hiu,,
1427514,,,,Saul Bamberger,,
1427517,,,,Peter Mahlangu,,
1427518,,,,Bo Kaesje,,
1427519,,,,Elias Meintjies,,
1427521,,,,Chow Mei-Yan,,
1427539,,,,Heung Dip,,
1427540,,,谭淑梅,Carol Tam Suk-Mui,,
1427638,,,,Jonathan Chik Gei-Yee,,
1427641,,,,Cheng Kwun-Min,,
1428283,,,,Elaine Law Suet-Ling,,
1513147,,,,Chan Tung,,
1555354,,,王书麒,Jimmy Wong Shu-Kei,,
1562576,,,刘仪伟,Liu Yi-Wei,,
1574333,,,梁韵蕊,Anglie Leung Wan-Yui,,
1575541,,,朱铁和,Chu Tit-Wo,,
1577825,,,,Leung Yuen-Jing,,
1580525,,,颜丽如,Jo Jo Ngan,,
1588386,,,,Lau Cheun,,
1591060,,,左颂昇,Rico Chu Tak-On,,
1595682,,,陈明君,Bessie Chan,,
1596465,,,,Tung Chi,,
1596646,,,古明华,Ku Ming-Wah,,
1606748,,,黄贻青,Wong Yee Ching,,
1614091,,,林琪欣,Josephine Lam,,
1616889,,,,Wong Kwan-Hong,,
1617133,,,陆树铭,Luk Shu-Ming,,
1619790,,,张武孝,Albert Cheung,,
1619870,,,,Tse Ning,,
1619922,,,,Chan Kim-Wan,,
1619923,,,,Charles Shen,,
1623210,,,,Sing Yan,,
1624092,,,刘沙,Liu Sha,,
1624093,,,,Wang Jian,,
1624094,,,,Jin Xin,,
1624095,,,,Wong Bing,,
1624096,,,修宗迪,Sau Chung-Dik,,
1624097,,,杨晓丹,Yang Xiao-Dan,,
1624098,,,,Donald Freeman,,
1624693,1963-03-15,2015-01-10,司马燕,Si-Ma Yin,,
1624721,,,,Joyce Chan Yin-Hang,,
1624722,,,,Mei Yee,,
1624725,,,黄美琪,Maggie Wong,,
1625569,,,,Kwok Kwan-Shing,,
1625570,,,,Leung Shiu-Choi,,
1625571,,,,Kwok Chi-Ho,,
1626384,,,,Wong Chak-Man,,
1632540,,,,Dave Lam Ching,,
1639507,,,,Jacqueline Li,,
1676386,,,,Kai Shi Chen,,
1749439,1949-06-18,2017-03-30,,Phillip Ko,,"Hong Kong, China"
1910037,,,,Cally Kwong,,
1910038,,,,Chia Yung Liu,,
